participant,Finished,cluster,question,value,item
168,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,"Be aware of differences between disciplines, no one size fits all, inclusion in Pure should not be linked to open access, open access is a right of the employee and should not be turned into an obligation set by university on the employee (especially given that the EUR interprets article 25 Auteurswet so extensively, that employees are forced to break rules that publisher set. And please do note: article 25fa Aueteurswet does not apply if an emplyee has a contract with a foreign published under foreign law (we were told otherwise by the UB during an information session on open access, but that was legally incorrect information). And last bur not least: the EUR must be transparent on its open access obligations: why is the open access policy only accessible to employees and not to the outside world (including prospective employees who want to know what their obligations would be if they would become employees of the EUR? That does not fit with open access."
169,TRUE,0,School,value_1,Erasmus School of Law (ESL)
169,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
170,TRUE,0,School,value_1,Erasmus School of Law (ESL)
170,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
171,TRUE,0,School,value_1,Erasmus School of Law (ESL)
171,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
172,TRUE,0,School,value_1,Erasmus School of Law (ESL)
172,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
173,TRUE,0,School,value_1,Erasmus School of Law (ESL)
173,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
174,TRUE,0,School,value_1,Erasmus School of Law (ESL)
174,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,no
175,TRUE,0,School,value_1,Erasmus School of Law (ESL)
175,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
176,TRUE,0,School,value_1,Erasmus School of Law (ESL)
176,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
177,TRUE,0,School,value_1,Erasmus School of Law (ESL)
177,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
178,TRUE,0,School,value_1,Erasmus School of Law (ESL)
178,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,Not all open science practices are equally relevant to all forms of research. It would be helpful if this is acknowledged. E.g. theoretical research without empirical components has a different relationship to open data etc.
179,TRUE,0,School,value_1,Erasmus School of Law (ESL)
179,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
180,TRUE,0,School,value_1,Erasmus School of Law (ESL)
180,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
181,TRUE,0,School,value_1,Erasmus School of Law (ESL)
181,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
182,TRUE,0,School,value_1,Erasmus School of Law (ESL)
182,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
183,TRUE,0,School,value_1,Erasmus School of Law (ESL)
183,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
184,TRUE,0,School,value_1,Erasmus School of Law (ESL)
184,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
185,TRUE,0,School,value_1,Erasmus School of Law (ESL)
185,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
186,TRUE,0,School,value_1,Erasmus School of Law (ESL)
186,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
187,TRUE,0,School,value_1,Erasmus School of Law (ESL)
187,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,"more information and an insightful/comprehensive discussion with all actors involved (without excluding research from this) is needed in order to accurately and fully evaluate all the potential positive/negative implications of open science with a view to define and pursue a reasonable, realistic and effective open science policy"
188,TRUE,0,School,value_1,Erasmus School of Law (ESL)
188,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
189,TRUE,0,School,value_1,Erasmus School of Law (ESL)
189,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
190,TRUE,0,School,value_1,Erasmus School of Law (ESL)
190,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
191,TRUE,0,School,value_1,Erasmus School of Law (ESL)
191,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
192,FALSE,0,School,value_1,NA
192,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
193,FALSE,0,School,value_1,Erasmus School of Law (ESL)
193,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
194,FALSE,0,School,value_1,Erasmus School of Law (ESL)
194,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
195,FALSE,0,School,value_1,Erasmus School of Law (ESL)
195,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
196,FALSE,0,School,value_1,Erasmus School of Law (ESL)
196,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
197,FALSE,0,School,value_1,Erasmus School of Law (ESL)
197,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
198,FALSE,0,School,value_1,Erasmus School of Law (ESL)
198,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
199,FALSE,0,School,value_1,Erasmus School of Law (ESL)
199,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
200,FALSE,0,School,value_1,Erasmus School of Law (ESL)
200,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
201,FALSE,0,School,value_1,Erasmus School of Law (ESL)
201,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
202,FALSE,0,School,value_1,Erasmus School of Law (ESL)
202,FALSE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
